Filename	Language	Potential@10	Precision@10	Recall@10	F1@10	Accuracy@1	Accuracy@1@top_gold_1	Prompt_Tokens	Completion_Tokens	Total_Tokens
multilex_test_ca_ls.tsv	Catalan	0.7079	0.1713	0.1419	0.1552	0.4899	0.2045	929112	351910	1281022
multilex_test_de_ls.tsv	German	0.3947	0.0744	0.1539	0.1003	0.2982	0.1649	1077816	420917	1498733
multilex_test_en_ls.tsv	English	0.8281	0.2104	0.4273	0.2819	0.6193	0.3351	752500	390495	1142995
multilex_test_es_ls.tsv	Spanish	0.8145	0.2438	0.2162	0.2292	0.6206	0.3238	955864	461173	1417037
multilex_test_fil_ls.tsv	Filipino	0.0895	0.0103	0.0436	0.0167	0.0561	0.0351	725238	493867	1219105
multilex_test_fr_ls.tsv	French	0.8018	0.2145	0.2592	0.2347	0.5947	0.3246	857154	433875	1291029
multilex_test_it_ls.tsv	Italian	0.7754	0.1706	0.2408	0.1997	0.5386	0.2579	1004568	433260	1437828
multilex_test_ja_ls.tsv	Japanese	0.5018	0.0921	0.0751	0.0827	0.3175	0.1421	959790	691365	1651155
multilex_test_pt_ls_568.tsv	Portuguese	0.7236	0.1190	0.2993	0.1703	0.4613	0.2641	984058	440763	1424821
multilex_test_si_ls.tsv	Sinhala	0.0117	0.0015	0.0055	0.0024	0.0033	0.0033	3138776	1150982	4289758
