Filename	Language	Potential@10	Precision@10	Recall@10	F1@10	Accuracy@1	Accuracy@1@top_gold_1	Prompt_Tokens	Completion_Tokens	Total_Tokens
multilex_test_ca_ls.tsv	Catalan	0.7191	0.1734	0.1447	0.1578	0.4899	0.2112	936193	352106	1288299
multilex_test_de_ls.tsv	German	0.3982	0.0751	0.1554	0.1013	0.2877	0.1579	1077816	424074	1501890
multilex_test_en_ls.tsv	English	0.8316	0.2108	0.4284	0.2826	0.6333	0.3316	743440	389433	1132873
multilex_test_es_ls.tsv	Spanish	0.8162	0.2469	0.2167	0.2308	0.6223	0.3221	955864	461418	1417282
multilex_test_fil_ls.tsv	Filipino	0.0912	0.0104	0.0436	0.0168	0.0544	0.0351	734298	496172	1230470
multilex_test_fr_ls.tsv	French	0.8053	0.2186	0.2640	0.2392	0.6070	0.3368	857154	434680	1291834
multilex_test_it_ls.tsv	Italian	0.7877	0.1743	0.2465	0.2042	0.5491	0.2649	1004568	434700	1439268
multilex_test_ja_ls.tsv	Japanese	0.4965	0.0901	0.0732	0.0808	0.3175	0.1421	959790	733914	1693704
multilex_test_pt_ls_568.tsv	Portuguese	0.7306	0.1195	0.2993	0.1709	0.4560	0.2606	984058	445102	1429160
multilex_test_si_ls.tsv	Sinhala	0.0083	0.0011	0.0041	0.0018	0.0033	0.0033	3155304	1158869	4314173
