Filename	Language	Potential@10	Precision@10	Recall@10	F1@10	Accuracy@1	Accuracy@1@top_gold_1	Prompt_Tokens	Completion_Tokens	Total_Tokens
multilex_test_ca_ls.tsv	Catalan	0.7191	0.1726	0.1433	0.1566	0.4966	0.2022	950355	352594	1302949
multilex_test_de_ls.tsv	German	0.3982	0.0755	0.1565	0.1019	0.3000	0.1632	1095936	419263	1515199
multilex_test_en_ls.tsv	English	0.8351	0.2117	0.4302	0.2837	0.6246	0.3333	761560	390662	1152222
multilex_test_es_ls.tsv	Spanish	0.8179	0.2475	0.2182	0.2319	0.6206	0.3204	974810	458954	1433764
multilex_test_fil_ls.tsv	Filipino	0.0947	0.0110	0.0459	0.0177	0.0526	0.0351	752418	498400	1250818
multilex_test_fr_ls.tsv	French	0.8070	0.2198	0.2654	0.2405	0.5965	0.3351	875274	430421	1305695
multilex_test_it_ls.tsv	Italian	0.7825	0.1729	0.2434	0.2021	0.5526	0.2649	1022688	429337	1452025
multilex_test_ja_ls.tsv	Japanese	0.5088	0.0918	0.0748	0.0824	0.3228	0.1474	977910	710788	1688698
multilex_test_pt_ls_568.tsv	Portuguese	0.7183	0.1189	0.2983	0.1700	0.4507	0.2553	1002140	438287	1440427
multilex_test_si_ls.tsv	Sinhala	0.0083	0.0011	0.0041	0.0018	0.0033	0.0033	3171832	1159295	4331127
